LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0003084930-0001-7,"JOKBAL1030, INC.",,3465 W 6TH STREET   SUITE #65,LOS ANGELES,3465 6TH 90020,3465 W 6TH STREET #65,LOS ANGELES,90020-2567,722110,Full-service restaurants,10,11/21/2018,,"(34.0639, -118.2973)"
0002860247-0002-1,SRIVIJIT INC,THAI VEGAN III,17338 W SUNSET BLVD,PACIFIC PALISADES,17338 Sunset 90272-4102,3020 WILSHIRE BLVD #5,SANTA MONICA,90403-2302,722110,Full-service restaurants,11,12/03/2019,,"(34.0406, -118.5534)"
0003045983-0001-1,THE GREEN BAR,,7427   VAN NUYS BLVD,VAN NUYS,7427 VAN NUYS 91405-1947,7236   VARNA AVENUE,NORTH HOLLYWOOD,91605-4102,722110,Full-service restaurants,6,04/10/2018,,"(34.2055, -118.449)"
0002575885-0010-2,FAR WEST RESTAURANT GROUP LLC,WINGSTOP #1662,3476   WHITTIER BLVD   UNIT #101,LOS ANGELES,3476 WHITTIER 90023-1754,3720 S SUSAN STREET,SANTA ANA,92704-6967,722110,Full-service restaurants,14,12/15/2019,,"(34.0265, -118.199)"
0003167017-0001-2,HIGH ON THAI CORP,,14653 VICTORY BLVD,VAN NUYS,14653 Victory 91411-1622,,,,722110,Full-service restaurants,6,01/20/2020,,"(34.1868, -118.4521)"
0003164712-0001-5,"ELSA FOOD, INC.",7TH KOREAN BBQ,698 S VERMONT AVENUE   SUITE #111,LOS ANGELES,698 VERMONT 90005,698 S VERMONT AVENUE   SUITE #111,LOS ANGELES,90005-4721,722110,Full-service restaurants,10,12/05/2019,,"(34.0601, -118.2913)"
0002948791-0001-5,88 HACHI HACHI CORPORATION,WASHOKU OF L.A.,11928   VENTURA BLVD,STUDIO CITY,11928 VENTURA 91604-2606,15819   STAGG STREET,VAN NUYS,91406-1922,722110,Full-service restaurants,2,12/13/2016,,"(34.1429, -118.3919)"
0003163878-0001-5,NOHO RAMEN & TERIYAKI INC,,11009   BURBANK BLVD   SUITE #108,NORTH HOLLYWOOD,11009 BURBANK 91601,11009   BURBANK BLVD   SUITE #108,NORTH HOLLYWOOD,91601-5732,722110,Full-service restaurants,2,12/01/2019,,"(34.1726, -118.3707)"
0003164064-0001-5,GREAT GOING FOOD CORPORATION,JINKY'S CAFE,22818   VANOWEN STREET,WEST HILLS,22818 VANOWEN 91307,22860   HARTLAND STREET,WEST HILLS,91307-2518,722110,Full-service restaurants,12,07/08/2019,,"(34.1933, -118.6244)"
0003166169-0001-1,MAZAL BEER & WINE INC,,110 N SAN FERNANDO ROAD,LOS ANGELES,110 San Fernando 90031-1726,,,,722110,Full-service restaurants,1,08/20/2018,,"(34.0747, -118.2211)"
0003164137-0001-6,RINRUTHAI SILPACHAI & ALIF SILPACHAI,BARN RAU RESTAURANT,10825 OXNARD STREET,NORTH HOLLYWOOD,10825 Oxnard 91606-5020,,,,722110,Full-service restaurants,2,11/26/2019,,"(34.1798, -118.3671)"
0003162607-0001-1,JOSE ULIN HERNANDEZ,IT'S REAL GOOD TASTY FOOD,13273   VAN NUYS BLVD   UNIT #A,PACOIMA,13273 VAN NUYS 91331-3003,,,,722110,Full-service restaurants,7,10/01/2019,,"(34.2661, -118.4228)"
0003121591-0001-6,RA MARUYA LA INC,MARUYA,104   JAPANESE VILLAGE PLAZA MALL,LOS ANGELES,104 JAPANESE VILLAGE PLAZA 90012-3909,104   JAPANESE VILLAGE PLAZA MALL,LOS ANGELES,90012-3909,722110,Full-service restaurants,14,05/16/2019,,"(34.0489, -118.2397)"
0003162400-0001-3,CRAZY HOT CHICKEN,,30067   CAMBRIDGE AVENUE,CASTAIC,30067 CAMBRIDGE 91384,30067   CAMBRIDGE AVENUE,CASTAIC,91384-4543,722110,Full-service restaurants,0,11/07/2019,,"(34.4648, -118.6237)"
0003164033-0001-0,THE CHD LLC,CHANGHWADANG,3377   WILSHIRE BLVD   SUITE #104,LOS ANGELES,3377 WILSHIRE 90010,2120   RONSARD ROAD,RANCHO PALOS VERDES,90275-1624,722110,Full-service restaurants,10,11/20/2019,,"(34.0623, -118.2975)"
0003150117-0001-3,HECTOR R GALINDO,EL POLLAZO RESTAURANT,6210 S VERMONT AVENUE,LOS ANGELES,6210 VERMONT 90044-3720,6212  1/8 S VERMONT AVENUE,LOS ANGELES,90044-3720,722110,Full-service restaurants,9,09/18/2019,,"(33.9833, -118.2912)"
0002995965-0001-9,DEON MCFASHION,EMERGENCY TACOS,3529 W 27TH STREET   UNIT #8,LOS ANGELES,3529 27TH 90018-2429,,,,722110,Full-service restaurants,10,05/30/2017,,"(34.0309, -118.3235)"
0002575885-0009-9,FAR WEST RESTAURANT GROUP LLC,WINGSTOP 1649,1707 S WESTERN AVENUE,LOS ANGELES,1707 Western 90006-5803,3720 S SUSAN STREET,SANTA ANA,92704-6967,722110,Full-service restaurants,10,12/15/2019,,"(34.0425, -118.3101)"
0000055177-0002-1,IL FORNAIO (AMERICA) LLC,IL FORNAIO CUCINA ITALIANA,6320 TOPANGA CANYON BLVD SUITE #1640,WOODLAND HILLS,6320 TOPANGA CANYON 91367-2214,770 TAMALPAIS DRIVE SUITE #400,CORTE MADERA,94925-1739,722110,Full-service restaurants,3,02/05/2015,,"(34.1854, -118.6058)"
0003027730-0001-4,"SOCAL DINERS, INC.",BLACK BEAR DINER,23626   VALENCIA BLVD,SANTA CLARITA,23626 VALENCIA 91355-1709,2190   MERIDIAN PARK BLVD   #G,CONCORD,94520-5715,722110,Full-service restaurants,0,04/23/2018,,"(34.4168, -118.5485)"
0002396190-0003-2,HYEUN PAG,THE GANGJUNG,621 S WESTERN AVENUE   #302,LOS ANGELES,621 WESTERN 90005-3042,,,,722110,Full-service restaurants,10,12/11/2019,,"(34.0628, -118.3098)"
0003165409-0001-6,WH FORMA GROUP LLC.,FORMA VENICE,110   NAVY STREET,VENICE,110 NAVY 90291,110   NAVY STREET,VENICE,90291-2552,722110,Full-service restaurants,11,01/15/2020,,"(33.997, -118.4794)"
0003165939-0001-8,SDS AFFILIATED INC,,6600 TOPANGA CANYON BLVD SUITE #1096,CANOGA PARK,6600 TOPANGA CANYON 91303-2684,10790 LAS LUNITAS AVENUE,TUJUNGA,91042-1306,722110,Full-service restaurants,3,08/18/2017,,
0003165566-0001-2,"FEU PHO KITCHEN,INC",FEU PHO KITCHEN,11310   VENTURA BLVD,STUDIO CITY,11310 VENTURA 91604,11310   VENTURA BLVD,STUDIO CITY,91604-3137,722110,Full-service restaurants,2,12/04/2019,,"(34.1402, -118.3768)"
0003164654-0001-1,KLOADS,HANA ICHIMONME,333 S ALAMEDA STREET   SUITE #303-304,LOS ANGELES,333 ALAMEDA 90013-1735,,,,722110,Full-service restaurants,14,11/27/2019,,"(34.0444, -118.2382)"
0003166020-0001-7,GO & S LLC,PERFECT PITAS,6319 HOLLYWOOD BLVD,LOS ANGELES,6319 Hollywood 90028-6302,,,,722110,Full-service restaurants,13,12/06/2019,,"(34.102, -118.3275)"
0003163911-0001-0,"FARMERS MARKET TAVERN, LLC",,6301 W 3RD STREET,LOS ANGELES,6301 3RD 90036,6301 W 3RD STREET   OFFICE,LOS ANGELES,90036-3154,722110,Full-service restaurants,4,02/01/2020,,"(34.0726, -118.3595)"
0003170329-0001-5,TRING ENTERPRISE INC,,1828   MARENGO STREET,LOS ANGELES,1828 MARENGO 90033,1828   MARENGO STREET,LOS ANGELES,90033-1316,722110,Full-service restaurants,14,01/01/2020,,"(34.0579, -118.2108)"
0003134447-0001-5,YOON CHOI,CAN-ZO,18212 S WESTERN AVENUE,GARDENA,18212 WESTERN 90248-3819,1510 W ARTESIA SQUARE   UNIT #G,GARDENA,90248-4768,722110,Full-service restaurants,15,06/27/2019,,"(33.8649, -118.309)"
0003136883-0001-9,MICHAS TECHNOLOGIES INC,ELENI'S KITCHEN,6407   VAN NUYS BLVD,VAN NUYS,6407 VAN NUYS 91401-1437,,,,722110,Full-service restaurants,6,07/10/2019,,"(34.187, -118.4491)"
0003133275-0001-3,GUILLERMO ESTRADA PRADO,CASA DE CAFE DOWNTOWN L A,326 E PICO BLVD,LOS ANGELES,326 PICO 90015-2510,,,,722110,Full-service restaurants,14,06/20/2019,,"(34.0345, -118.2575)"
0000195355-0060-9,PANDA EXPRESS INC,,20040  1/2   VENTURA BLVD,WOODLAND HILLS,20040 VENTURA 91364-2637,1683   WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,3,01/14/2017,,"(34.171, -118.57)"
0003137249-0001-0,CON SABOR A PERU INC,,5163   VENICE BLVD,LOS ANGELES,5163 VENICE 90019,5163   VENICE BLVD,LOS ANGELES,90019-5201,722110,Full-service restaurants,10,08/01/2019,,"(34.0452, -118.3531)"
0000167459-0002-3,FRANCO COSTANZA,PANZ8,22761   VANOWEN STREET   APARTMENT #113,WEST HILLS,22761 VANOWEN 91307-2663,,,,722110,Full-service restaurants,12,06/21/2019,,"(34.1941, -118.623)"
0003137607-0001-9,CLAUDIA MARIA MALDONADO PERLA,MONSTER BURGER #3,8025   AVALON BLVD,LOS ANGELES,8025 AVALON 90003-2612,,,,722110,Full-service restaurants,9,08/01/2019,,"(33.9657, -118.2655)"
0003133590-0001-2,CHINNAWAT YUENYONGSAKUL,,11736   VICTORY BLVD,NORTH HOLLYWOOD,11736 VICTORY 91606-3422,,,,722110,Full-service restaurants,2,06/30/2019,,"(34.1864, -118.3891)"
0003137247-0001-1,MI & KI INC.,ONE 80 PIZZERIA,8519 W PICO BLVD,LOS ANGELES,8519 PICO 90035,8519 W PICO BLVD,LOS ANGELES,90035-2409,722110,Full-service restaurants,5,08/03/2019,,"(34.0536, -118.3773)"
0003134477-0001-6,HUGO CRUZ VAZQUEZ,RESTAURANT SAVOR DE MI TIERRA,1901   8TH AVENUE,LOS ANGELES,1901 8TH 90018-1102,,,,722110,Full-service restaurants,10,06/27/2019,,"(34.0395, -118.3263)"
0000480189-0003-6,AM BEST FOOD INC,GRIFFITH PARK CLUBHOUSE GRILL & EVENT CENTER,4730   CRYSTAL SPRINGS DRIVE,LOS ANGELES,4730 CRYSTAL SPRINGS 90027-1401,3207   LOS FELIZ BLVD,LOS ANGELES,90039-1508,722110,Full-service restaurants,4,06/17/2019,,"(34.1235, -118.2739)"
0003126937-0001-1,PSTO INC,OLD DVIN,5125 W SUNSET BLVD,LOS ANGELES,5125 SUNSET,,,,722110,Full-service restaurants,13,03/12/2019,,"(34.0985, -118.3017)"
0002333821-0003-9,AMOS JUAREZ LORENZO,EL BOCADO EXPRESS,2454 W PICO BLVD,LOS ANGELES,2454 PICO 90006-4007,149 N ALEXANDRIA AVENUE   #6,LOS ANGELES,90004-6775,722110,Full-service restaurants,1,01/01/2020,,"(34.047, -118.2907)"
0002980944-0001-4,PHAROAH KINGDOM INC,PHARAOH,3680   WILSHIRE BLVD   SUITE #B02,LOS ANGELES,3680 WILSHIRE 90010-2709,,,,722110,Full-service restaurants,10,04/12/2017,,"(34.0607, -118.3062)"
0003131607-0001-5,"B & C WILSHIRE, INC",,3372 W 8TH STREET,LOS ANGELES,3372 8TH 90005-2437,1058 S VERMONT AVENUE   SUITE #204,LOS ANGELES,90006-2731,722110,Full-service restaurants,10,06/14/2019,,"(34.0575, -118.3025)"
0000450306-0003-1,RUBIOS RESTAURANTS INC,RUBIO'S FRESH MEXICAN GRILL,19500 PLUMMER STREET #B3,NORTHRIDGE,19500 PLUMMER 91324-2158,2200   FARADAY AVENUE   SUITE #250,CARLSBAD,92008-7234,722110,Full-service restaurants,12,03/01/1998,,"(34.2427, -118.5579)"
0003135682-0001-1,FEFI AVI CORP,ILOPANGO RESTAURANT,8332   SEPULVEDA BLVD   #5,NORTH HILLS,8332 SEPULVEDA 91343-6529,,,,722110,Full-service restaurants,6,07/03/2019,,"(34.2222, -118.4672)"
0003154949-0002-6,PEOPLE'S PARTY LLC,GORDITOS,17947 CHATSWORTH STREET,GRANADA HILLS,17947 Chatsworth 91344-5606,,,,722110,Full-service restaurants,12,12/02/2019,,"(34.2652, -118.525)"
0003134137-0001-7,SABORES MEXICAN FOOD INC,MARGARITAS MEXICAN FOOD,2101 W PICO BLVD   UNIT #A5,LOS ANGELES,2101 PICO 90006,2101 W PICO BLVD   UNIT #A5,LOS ANGELES,90006-4900,722110,Full-service restaurants,1,04/01/2019,,"(34.0476, -118.2829)"
0003135254-0001-6,SUN RAMEN & SUSHI BAR INC,SUN RAMEN & SUSHI BAR,7578   WINNETKA AVENUE,WINNETKA,7578 WINNETKA 91306-2930,7115   ETIWANDA AVENUE   #7,RESEDA,91335-4421,722110,Full-service restaurants,3,07/02/2019,,"(34.208, -118.5709)"
0002968351-0001-1,2000 E 7TH ST. LLC,GUERRILLA TACOS,2000 E 7TH STREET,LOS ANGELES,2000 7TH 90021-1302,2000 E 7TH STREET,LOS ANGELES,90021-1302,722110,Full-service restaurants,14,02/27/2017,,"(34.0343, -118.2321)"
0000195355-0061-7,PANDA EXPRESS INC,PANDA EXPRESS 2648,741 S SOTO STREET,LOS ANGELES,741 SOTO 90023-1336,1683   WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,14,05/01/2017,,"(34.0347, -118.2158)"
0003132196-0001-0,ORI RESTAURANTS INC,ELA,307   LINCOLN BLVD,VENICE,307 LINCOLN 90291-2842,,,,722110,Full-service restaurants,11,06/17/2019,,"(34.0011, -118.4677)"
0003006092-0001-8,PARK ENTERPRISE LLC,CHICK-FIL-A AT USC,3758 S FIGUEROA STREET,LOS ANGELES,3758 FIGUEROA 90007-4315,417 S HILL STREET   APARTMENT #313,LOS ANGELES,90013-1282,722110,Full-service restaurants,9,09/08/2017,,"(34.0164, -118.2826)"
0003058185-0001-2,GUADALUPE RIVAS,IRENE'S RESTAURANT,2215 S CENTRAL AVENUE,LOS ANGELES,2215 CENTRAL 90011-1238,1523 E 42ND STREET,LOS ANGELES,90011-3317,722110,Full-service restaurants,9,05/31/2018,,"(34.0217, -118.2532)"
0003133980-0001-1,YELLOW DOT RESTAURANT GROUP INC,FRYMADNESS,555 S SPRING STREET,LOS ANGELES,555 SPRING 90013-2303,608 S HILL STREET   SUITE #906,LOS ANGELES,90014-1730,722110,Full-service restaurants,14,06/01/2019,,"(34.047, -118.2503)"
0003132551-0001-5,D&HYUN INC.,,18406   VENTURA BLVD,TARZANA,18406 VENTURA 91356-4202,18406   VENTURA BLVD,TARZANA,91356-4202,722110,Full-service restaurants,3,07/01/2019,,"(34.1676, -118.5339)"
0003120936-0001-2,"WESTWOOD MANDARIN FOOD, INC.",DIM SUM HOUSE,1822   WESTWOOD BLVD,LOS ANGELES,1822 WESTWOOD 90025-4612,1741   CAMDEN AVENUE   APARTMENT #8,LOS ANGELES,90025-4499,722110,Full-service restaurants,5,04/01/2019,,"(34.0491, -118.4357)"
0003136469-0001-6,VERN THEATER INC,DON QUIXOTE,2811 E OLYMPIC BLVD,LOS ANGELES,2811 OLYMPIC 90023-3411,1216 E OJAI AVENUE,OJAI,93023-3015,722110,Full-service restaurants,14,07/09/2019,,"(34.0235, -118.2172)"
0003137029-0001-6,USBE GROUP INC,RJ BAR & ENTERTAINMENT,3855   WILSHIRE BLVD,LOS ANGELES,3855 WILSHIRE 90010,968 S NEW HAMPSHIRE AVENUE   UNIT #3,LOS ANGELES,90006-1628,722110,Full-service restaurants,10,08/01/2019,,"(34.0619, -118.3107)"
0000640816-0001-3,MAMMOITAL INC,CARUSO'S ITALIAN KITCHEN,13737 FOOTHILL BLVD,SYLMAR,13737 FOOTHILL 91342-3105,,,,722110,Full-service restaurants,7,04/08/2002,,"(34.3091, -118.4324)"
0000216453-0001-4,LACOCINITA RESTAURANT INC,,13178 VAN NUYS BLVD,PACOIMA,13178 VAN NUYS 91331-2572,,,,722110,Full-service restaurants,7,10/09/2004,,"(34.2677, -118.4198)"
0000410027-0002-4,DENSAIF INC,DENNY'S 9395,12861   ENCINITAS AVENUE,SYLMAR,12861 ENCINITAS 91342-3518,13515   HUBBARD STREET,SYLMAR,91342-4419,722110,Full-service restaurants,7,02/07/2019,,"(34.303, -118.4783)"
0000111284-0001-1,"IDT, IND.",MORE THAN WAFFLES,17200 VENTURA BLVD #109,ENCINO,17200 VENTURA 91316-4073,,,,722110,Full-service restaurants,5,05/01/1999,,"(34.1605, -118.5076)"
0003084627-0001-1,RITROVO PLAYA VISTA LLC,RITROVO,6020   SEABLUFF DRIVE   SUITE #4,PLAYA VISTA,6020 SEABLUFF 90094-2211,6020   SEABLUFF DRIVE   SUITE #4,PLAYA VISTA,90094-2211,722110,Full-service restaurants,11,11/15/2018,,"(33.9737, -118.4221)"
0003131954-0001-4,TACOMIENDO MEXICAN RESTAURANT,,4502   INGLEWOOD BLVD,CULVER CITY,4502 INGLEWOOD 90230-5857,,,,722110,Full-service restaurants,11,06/18/2019,,"(33.9949, -118.4176)"
0003132861-0001-3,SANTIAGO A CERVANTES,TIROS CHICKEN,6225 S SAN PEDRO STREET,LOS ANGELES,6225 SAN PEDRO 90003-1636,,,,722110,Full-service restaurants,9,06/20/2019,,"(33.9826, -118.2699)"
0003134728-0001-7,TAQUERIA JEREZ INC,,8610   VAN NUYS BLVD   #12,PANORAMA CITY,8610 VAN NUYS 91402-7207,POST OFFICE BOX #4141,PANORAMA CITY,91412-4141,722110,Full-service restaurants,6,08/30/2016,,"(34.2268, -118.4494)"
0000005775-0008-8,PANDHER FAST FOOD INC,,6576   VAN NUYS BLVD,VAN NUYS,6576 VAN NUYS 91401-1426,12771   VAN NUYS BLVD,PACOIMA,91331-1627,722110,Full-service restaurants,6,06/12/2019,,"(34.1903, -118.448)"
0003115140-0002-1,Y S OT CORPORATION,RAMEN KOO,5784   MELROSE AVENUE,LOS ANGELES,5784 MELROSE 90038-3844,,,,722110,Full-service restaurants,4,06/25/2019,,"(34.0832, -118.3263)"
0003105210-0001-4,"AMERICAN BEAUTY VENTURE, LLC",AMERICAN BEAUTY,425   ROSE AVENUE,VENICE,425 ROSE 90291-2629,2434   LINCOLN BLVD,VENICE,90291-6034,722110,Full-service restaurants,11,03/01/2019,,"(33.9981, -118.4745)"
0003135214-0001-1,"ITWIL, INC.",ROAD TO SEOUL,1230 S WESTERN AVENUE,LOS ANGELES,1230 WESTERN 90006,1230 S WESTERN AVENUE,LOS ANGELES,90006-3108,722110,Full-service restaurants,10,07/01/2019,,"(34.0487, -118.3087)"
0002963854-0002-7,SHABUSHI INC,STREET FOODS MARKET,5155   HOLLYWOOD BLVD,LOS ANGELES,5155 HOLLYWOOD 90027-6113,,,,722110,Full-service restaurants,13,06/28/2019,,"(34.1018, -118.3023)"
0003135833-0001-3,SEBASTIAN AJMAC,LOS CHAPINES RESTAURANT,17734   SHERMAN WAY,RESEDA,17734 SHERMAN 91335-3317,,,,722110,Full-service restaurants,3,02/01/2019,,"(34.2009, -118.5198)"
0003134594-0001-8,LADUREE LOS ANGELES LLC,LADUREE MANSUR GAVRIEL,8475   MELROSE PLACE,LOS ANGELES,8475 MELROSE 90069,311 N BEVERLY DRIVE,BEVERLY HILLS,90210-4713,722110,Full-service restaurants,5,07/12/2019,,"(34.0839, -118.3759)"
0002533277-0001-0,RECREATIONAL ENGINEERING LLC,RODEO KING OF RAMADA,21340 DEVONSHIRE STREET SUITE #B,CHATSWORTH,21340 DEVONSHIRE 91311-2320,5249   COLODNY DRIVE   SUITE #8,AGOURA HILLS,91301-2637,722110,Full-service restaurants,12,01/01/2011,,"(34.2572, -118.596)"
0003099644-0001-7,J & JK INC,JEONJU HYUNDAIOK KOREAN RESTAURANT,3020   WILSHIRE BLVD   #119,LOS ANGELES,3020 WILSHIRE 90010-1120,,,,722110,Full-service restaurants,10,02/08/2019,,"(34.0613, -118.2874)"
0003133980-0002-0,YELLOW DOT RESTAURANT GROUP INC,THE RED CHICKZ,557 S SPRING STREET,LOS ANGELES,557 SPRING 90013-2303,,,,722110,Full-service restaurants,14,06/01/2019,,"(34.047, -118.2503)"
0003121106-0001-3,MJ CASAMAR INC,CASA MARAVILLA BAR & GRILL,1828 S VERMONT AVENUE,LOS ANGELES,1828 VERMONT 90006-4526,1828 S VERMONT AVENUE,LOS ANGELES,90006-4526,722110,Full-service restaurants,1,07/01/2019,,"(34.0405, -118.2913)"
0003135288-0001-5,ALEN KHACHIKYAN,2 GUYS KABOB,8440   BRADLEY AVENUE,SUN VALLEY,8440 BRADLEY 91352-3308,,,,722110,Full-service restaurants,6,07/01/2019,,"(34.2239, -118.3701)"
0000450306-0002-2,RUBIOS RESTAURANTS INC,RUBIO'S FRESH MEXICAN GRILL,4250 LINCOLN BLVD,MARINA DEL REY,4250 LINCOLN 90292-5654,2200   FARADAY AVENUE   SUITE #250,CARLSBAD,92008-7234,722110,Full-service restaurants,11,10/17/1996,,"(33.9858, -118.4435)"
0002998051-0003-1,"SSP AMERICA LAX, LLC",PEET'S COFFEE & TEA,300   WORLD WAY,LOS ANGELES,300 WORLD 90045-5856,20408   BASHAN DRIVE   SUITE #300,ASHBURN,20147-5553,722110,Full-service restaurants,11,05/01/2017,,"(33.9451, -118.4072)"
0003136142-0001-2,PROVIDENCIA II LLC,LA TAPACHULTECA,8640   VAN NUYS BLVD,PANORAMA CITY,8640 VAN NUYS 91402-2913,,,,722110,Full-service restaurants,6,07/08/2019,,"(34.2267, -118.4493)"
0003111820-0001-4,NBK BRANDED ENTERTAINMENT INC,,1714 N LAS PALMAS AVENUE,LOS ANGELES,1714 LAS PALMAS 90028-4805,3701   WILSHIRE BLVD   SUITE #200,LOS ANGELES,90010-2826,722110,Full-service restaurants,13,01/29/2018,,"(34.1021, -118.3359)"
0000486068-0037-4,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL INC 1843,5240 LANKERSHIM BLVD,NORTH HOLLYWOOD,5240 LANKERSHIM 91601-3109,POST OFFICE BOX #182566,COLUMBUS,43218-2566,722110,Full-service restaurants,4,01/16/2013,,"(34.1657, -118.3751)"
0002371086-0003-9,WILSON PITRUZZELLI INVESTMENTS LLC,BREADLAM,826 E 3RD STREET,LOS ANGELES,826 3RD 90013-1820,,,,722110,Full-service restaurants,14,01/01/2016,,"(34.0456, -118.2353)"
0003095168-0003-9,"FM RESTAURANTS EL TORITO OPCO, LLC",EL TORITO CANTINA AUTENTICA,14433  1/2   VENTURA BLVD,SHERMAN OAKS,14433 VENTURA 91423-2678,,,,722110,Full-service restaurants,4,11/05/2018,,"(34.1508, -118.4472)"
0003131828-0001-3,"PARAMOUNT BROOKLYN, LLC",,2706 E CESAR E CHAVEZ AVENUE,LOS ANGELES,2706 CESAR E CHAVEZ 90033-3106,2404   WILSHIRE BLVD   SUITE #8A,LOS ANGELES,90057-3342,722110,Full-service restaurants,14,06/05/2018,,"(34.0448, -118.204)"
0003133052-0001-6,MARISCOS SAN MIGUEL ARCANGEL CORP,,2614   MAPLE AVENUE,LOS ANGELES,2614 MAPLE 90011-1432,,,,722110,Full-service restaurants,9,07/01/2019,,"(34.0228, -118.2655)"
0000260464-0030-4,CARLS JR RESTAURANTS LLC,,1325 N ANAHEIM BLVD,ANAHEIM,1325 ANAHEIM 92801-1202,6700   TOWER CIRCLE,FRANKLIN,37067-1490,722110,Full-service restaurants,0,03/26/2013,,"(33.8531, -117.9198)"
0003084207-0001-1,"EUROPEAN GASTRO MANAGEMENT, LP",RASSELBOCK,3817   GRAND VIEW BLVD,LOS ANGELES,3817 GRAND VIEW 90066-4405,3817   GRAND VIEW BLVD   BUILDING,LOS ANGELES,90066-4405,722110,Full-service restaurants,11,12/01/2018,,"(34.0041, -118.431)"
0000195355-0059-5,PANDA EXPRESS INC,PANDA EXPRESS 2623,2011   WESTWOOD BLVD,LOS ANGELES,2011 WESTWOOD 90025-6328,1683   WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,5,04/01/2016,,"(34.0462, -118.4341)"
0003169903-0001-9,BHTK INC,,8837 W PICO BLVD,LOS ANGELES,8837 Pico 90035-3301,,,,722110,Full-service restaurants,5,01/02/2020,,"(34.0551, -118.3845)"
0003134765-0001-8,CORDOVA CACERES LLC,EL CAFETALITO,8700   WOODMAN AVENUE   SUITE #7,ARLETA,8700 WOODMAN 91331,8700   WOODMAN AVENUE   SUITE #7,ARLETA,91331-6552,722110,Full-service restaurants,6,06/28/2019,,"(34.2284, -118.4343)"
0003133642-0001-1,LETTERMENS SPORTS BAR LLC,,24328   MAIN STREET,SANTA CLARITA,24328 MAIN 91321,24328   MAIN STREET,SANTA CLARITA,91321-2913,722110,Full-service restaurants,0,07/01/2019,,"(34.3795, -118.528)"
0003172125-0001-5,FALAFEL INC,SAJJ MEDITERRENEAN,630 W 6TH STREET   SUITE #110B,LOS ANGELES,630 6TH 90017,630 W 6TH STREET   UNIT #110B,LOS ANGELES,90017-3260,722110,Full-service restaurants,14,01/27/2020,,"(34.049, -118.2562)"
0003120399-0001-9,EMMA GIRON,SAN VICENTE RESTAURANT,3071 W PICO BLVD,LOS ANGELES,3071 PICO 90006-3803,1608 W 35TH STREET,LOS ANGELES,90018-3939,722110,Full-service restaurants,10,03/18/2019,,"(34.0475, -118.3082)"
0003133116-0001-8,MORIS GARAY,PANADERI Y RESTAURANT MONJA BLANCA,936 N WESTERN AVENUE,LOS ANGELES,936 WESTERN 90029-3216,,,,722110,Full-service restaurants,13,06/11/2019,,"(34.0876, -118.3088)"
0000005775-0009-6,PANDHER FAST FOOD INC,,15753   ROSCOE BLVD,NORTH HILLS,15753 ROSCOE 91343-6407,12771   VAN NUYS BLVD,PACOIMA,91331-1627,722110,Full-service restaurants,12,06/05/2019,,"(34.2217, -118.4762)"
0003135909-0001-8,CONCHAGUA RESTAURANT INC,CONCHAGUA RESTAURANT # 2,10136   LONG BEACH BLVD,LYNWOOD,10136 LONG BEACH 90262,10136   LONG BEACH BLVD,LYNWOOD,90262-1552,722110,Full-service restaurants,0,07/04/2019,,"(33.9429, -118.215)"
0000195355-0026-9,PANDA EXPRESS INC,PANDA EXPRESS #3075,8201 TOPANGA CANYON BLVD,CANOGA PARK,8201 TOPANGA CANYON 91304-3800,1683 WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,3,12/18/1999,,"(34.2175, -118.6059)"
0003135377-0001-5,MAGALI CASTRO CASTANEDA,LA CATRINA,1564 W ADAMS BLVD,LOS ANGELES,1564 ADAMS 90007-1513,,,,722110,Full-service restaurants,8,07/01/2019,,"(34.0326, -118.2964)"
0000662552-0001-2,LUNARDON ENTERPRISES INC,ANTONIOS PIZZERIA,13619 VENTURA BLVD,SHERMAN OAKS,13619 VENTURA 91423-3701,13619   VENTURA BLVD,SHERMAN OAKS,91423-3701,722110,Full-service restaurants,4,07/14/1988,,"(34.1478, -118.4299)"
0003137100-0001-6,SUNRISE RESTAURANTS LLC,DENNY'S 7757,3740   CRENSHAW BLVD,LOS ANGELES,3740 CRENSHAW 90016-5804,5856   CORPORATE AVENUE   SUITE #200,CYPRESS,90630-4754,722110,Full-service restaurants,10,07/11/2019,,"(34.0189, -118.3342)"
0000754295-0001-0,ALFREDO LOPEZ SOSA,,10733 LULL STREET,SUN VALLEY,10733 LULL 91352-4609,,,,722110,Full-service restaurants,2,01/02/2003,,"(34.2093, -118.3642)"
0002923398-0003-1,MARUGAME UDON USA LLC,,700 S FLOWER STREET   UNIT #G200,LOS ANGELES,700 FLOWER 90017-4101,,,,722110,Full-service restaurants,14,06/25/2019,,"(34.0476, -118.2589)"
